序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、点击下方的“是”即表示您确认以下事项：1. 您了解本次参与是完全自愿的。2. 您了解您可以随时中止作答并退出调查，无需提供任何理由。3. 您同意我们将您的匿名回答用于学术研究。,2、您目前的学术职位是?,3、您的主要研究领域是?,4、您职业生涯中发表了多少篇同行评审论文?,5、英语是否为您的母语?,"6、过去3年您是否担任过顶级会议（如 USENIX Sec, CCS, S&amp;P, CVPR, NeurIPS）的审稿人?",7、论文写作的哪个阶段您觉得最具挑战性?（）,8、您通常如何搜索相关工作?,9、您是否使用AI工具进行研究？,10、您使用哪种类型的 AI 工具进行研究?,11、您是否专门使用 AI 工具进行文本润色、语法检查或改写?,12、在“引用”方面，您如何使用 AI 工具?,13、当使用通用 LLM（如 ChatGPT）寻找参考文献时，您遇到“幻觉”（不存在的论文）的频率如何?,14、如果 AI 工具提供了一个看起来完美的引用（标题、作者、年份、会议都看似正确），您还会通过外部渠道验证吗?,15、您是否曾在没有阅读全文的情况下，引用了 AI 推荐的论文?,16、您在多大程度上同意:“AI 工具让撰写‘相关工作’变得更容易，但也让确保引用准确性变得更难。”,17、当 AI 工具生成的引用链接或 DOI 失效时，您的策略是什么?,18、在论文中添加引用时，您的主要元数据来源（标题、年份、会议）是什么?,19、您多久会验证一次被引用的论文确实包含您所归因的观点?,20、如果找不到论文全文（如付费墙或下线），您会仅根据摘要或标题引用它吗?,21、您在多大程度上同意:“为了让论文看起来更学术，存在增加参考文献数量的压力。”,22、审稿时，您会专门检查“参考文献”部分吗?,23、检查参考文献时您在看什么?,24、您是否曾点击投稿参考文献中的 DOI 链接以验证论文是否存在?,25、您是否曾怀疑投稿中包含虚假或幻觉产生的参考文献?,26、如果看到引用“预印本”或“ArXiv”论文，您会验证其是否已在同行评审会议上发表吗?,27、您如何处理投稿中对非英文论文的引用?,28、您在多大程度上同意:“参考文献的准确性与实验结果的准确性同等重要。”,29、您认为目前的同行评审过程能有效发现参考文献中的元数据错误吗?,30、在 AI 时代，您认为“幻觉引用”（不存在的论文）是一个多严重的问题?,31、谁应对验证引用文献的真实性负主要责任?,32、会议是否应在投稿时部署自动化工具来检查损坏的 DOI 或虚假参考文献?,33、您在多大程度上同意:“基于 AI 摘要引用论文而无需阅读原文是可以接受的。”,34、您是否见过参考文献列表中的作者名字明显混乱或错误（如顺序颠倒）?,35、您是否见过参考文献中标题存在，但会议/年份完全错误的现象?,36、如果存在同行评审版本，您认为引用“技术报告”是可以接受的吗?,37、如果您在审稿的论文中发现一个错误的引用（如年份错误），您的反应是什么?,38、如果您发现多个（如 &gt;5个）错误或虚假的引用，您的反应是什么?,39、如果您在已发表的论文中遇到可疑或明显虚假的参考文献，您会进行反馈吗?,40、您是否曾在未检查内容的情况下从互联网复制粘贴 BibTeX 条目?,41、您在多大程度上同意:“我会仔细核对导入的每一个 BibTeX 条目的所有字段（卷、期、页码），确保提交前 100% 准确。”,42、您是否使用 "Semantic Scholar" 或 "ResearchRabbit" 等工具来构建参考文献列表?,43、关于学术诚信和写作工具的现状，您有什么补充意见吗?
13,2026/1/7 16:15:20,418秒,微信,N/A,117.188.118.56(贵州-贵阳),是，我同意参与调查,教职人员（教授/讲师）,AI安全,20+,否,否,概念构思┋撰写引言,在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋浏览会议论文集,是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋学术专用搜索引擎（如 Elicit, Consensus, Scite, Semantic Scholar）┋AI 驱动的阅读/笔记工具（如 ChatPDF, Humata）",是，仅针对特定的困难段落,不使用:不在引用部分使用AI工具,非常频繁（&gt;50% 的时间）,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点同意,我假设论文存在并尝试手动查找,直接从出版商导出,每次都会,否，从不,有点不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,不太有效,主要问题,作者,是，绝对应该,有点同意,否,是,是,在次要意见中提及,立即拒稿（伦理问题）,否，我会私下验证但不采取行动,否，从未,有点同意,否,(空)
14,2026/1/7 16:16:42,552秒,微信,N/A,123.118.6.127(北京-北京),是，我同意参与调查,博士生,网络安全,1-5,否,否,概念构思┋格式化参考文献,追踪其他论文的引用┋浏览会议论文集,是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,发现:要求 AI 推荐特定主题的论文┋填补空白:“我需要为这句话找一个引用，请帮我找一个。”┋摘要:要求 AI 总结论文以决定是否引用,我不用通用 LLM 找参考文献,我只在需要阅读全文时才验证,否，从不,中立,我假设论文是幻觉并立即舍弃,复制粘贴自其他论文的参考文献列表,每次都会,否，从不,有点不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),有点同意,不太有效,严重危机,作者,也许,有点同意,否,否,否,在次要意见中提及,立即拒稿（伦理问题）,否，我会私下验证但不采取行动,是，很少,中立,否,(空)
15,2026/1/7 16:21:42,167秒,微信,N/A,111.164.230.14(天津-天津),是，我同意参与调查,本科生,系统安全,1-5,否,否,概念构思┋技术细节描述,"在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）┋浏览会议论文集",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）┋AI 驱动的阅读/笔记工具（如 ChatPDF, Humata）",是，仅针对特定的困难段落,格式转换:将参考文献转换为特定格式，比如 BibTeX┋摘要:要求 AI 总结论文以决定是否引用,经常（20-50%）,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点同意,我假设论文存在并尝试手动查找,谷歌学术的“引用”按钮,大部分时间,否，从不,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),有点同意,不太有效,严重危机,作者,是，绝对应该,非常不同意,是,是,是,在次要意见中提及,要求解释,是，我会直接联系作者,否，从未,非常同意,是,(空)
16,2026/1/7 16:25:45,647秒,微信,N/A,116.130.27.224(天津-天津),是，我同意参与调查,博士后,密码学,6-10,否,是,概念构思┋撰写引言,在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋浏览会议论文集,是,"通用大语言模型（如 ChatGPT, Claude, Gemini）",是，几乎每一句都用,不使用:不在引用部分使用AI工具,我不用通用 LLM 找参考文献,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,非常同意,我假设论文是幻觉并立即舍弃,直接从出版商导出,每次都会,否，从不,有点不同意,是，仔细检查,遗漏关键相关工作┋元数据的正确性（年份、会议）,偶尔,否,有时,我假设它们是有效的,非常同意,不太有效,主要问题,作者,是，绝对应该,有点不同意,是,是,是,在次要意见中提及,立即拒稿（伦理问题）,否，我会私下验证但不采取行动┋否，我会忽略它,否，从未,中立,否,(空)
17,2026/1/7 16:38:18,240秒,微信,N/A,101.5.45.54(北京-北京),是，我同意参与调查,博士生,网络安全,1-5,否,否,概念构思┋撰写引言,"使用 AI 驱动的工具（如 ChatGPT, Connected Papers）┋浏览会议论文集",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,发现:要求 AI 推荐特定主题的论文,经常（20-50%）,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点同意,我假设论文存在并尝试手动查找,谷歌学术的“引用”按钮,仅针对关键观点,否，从不,中立,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,不太有效,主要问题,作者,是，绝对应该,非常不同意,否,是,是,在次要意见中提及,要求解释,否，我会私下验证但不采取行动,是，很少,中立,否,(空)
18,2026/1/7 16:45:37,195秒,微信,N/A,59.64.129.201(北京-北京),是，我同意参与调查,硕士生,AI安全,1-5,否,否,概念构思┋技术细节描述,"在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,不使用:不在引用部分使用AI工具,偶尔（&lt;20%）,是，我会通过谷歌学术/DBLP 100% 验证,是，经常,有点同意,我假设论文是幻觉并立即舍弃,谷歌学术的“引用”按钮,每次都会,是，如果有必要,有点不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,不太有效,主要问题,作者,是，绝对应该,中立,否,否,是,在次要意见中提及,立即拒稿（伦理问题）,是，我会联系程序委员会主席或期刊编辑,是，很少,非常同意,否,(空)
19,2026/1/7 16:57:17,210秒,微信,N/A,114.246.236.186(北京-北京),是，我同意参与调查,硕士生,其他,1-5,否,否,文献搜索与综述┋格式化参考文献,"在谷歌学术/DBLP上进行关键词搜索┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）",是，几乎每一句都用,不使用:不在引用部分使用AI工具,非常频繁（&gt;50% 的时间）,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,非常同意,我假设论文是幻觉并立即舍弃,谷歌学术的“引用”按钮,每次都会,是，如果有必要,中立,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),中立,不太有效,严重危机,作者,是，绝对应该,有点同意,否,否,否,在次要意见中提及,立即拒稿（伦理问题）,是，我会联系程序委员会主席或期刊编辑,否，从未,有点同意,否,(空)
20,2026/1/7 16:57:34,257秒,微信,N/A,183.172.13.141(北京-北京),是，我同意参与调查,本科生,人工智能与机器学习,1-5,否,否,概念构思┋技术细节描述,在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用,是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，几乎每一句都用,格式转换:将参考文献转换为特定格式，比如 BibTeX,我不用通用 LLM 找参考文献,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点不同意,我假设论文是幻觉并立即舍弃,直接从出版商导出,每次都会,否，从不,非常不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,不太有效,轻微干扰,作者,是，绝对应该,有点不同意,否,否,是,在次要意见中提及,立即拒稿（伦理问题）,是，我会联系程序委员会主席或期刊编辑,否，从未,非常同意,否,(空)
21,2026/1/7 16:59:22,205秒,微信,N/A,221.1.114.45(山东-潍坊),是，我同意参与调查,本科生,其他,0,否,否,文献搜索与综述┋技术细节描述,"追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）┋浏览会议论文集",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,发现:要求 AI 推荐特定主题的论文┋填补空白:“我需要为这句话找一个引用，请帮我找一个。”,经常（20-50%）,我只在需要阅读全文时才验证,否，从不,有点同意,我要求 AI 提供另一个链接,复制粘贴自其他论文的参考文献列表,仅针对关键观点,是，如果有必要,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,比较有效,严重危机,作者,是，绝对应该,非常不同意,是,是,是,在次要意见中提及,要求解释,是，我会直接联系作者,否，从未,中立,否,无
22,2026/1/7 17:00:12,375秒,微信,N/A,61.51.139.108(北京-北京),是，我同意参与调查,硕士生,其他,1-5,否,否,撰写引言┋格式化参考文献,在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用,否,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),直接从出版商导出,大部分时间,否，从不,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),有点同意,不太有效,严重危机,作者,是，绝对应该,有点不同意,否,否,否,要求大修,立即拒稿（伦理问题）,是，我会联系程序委员会主席或期刊编辑,否，从未,有点同意,否,(空)
23,2026/1/7 17:05:36,363秒,微信,N/A,27.211.169.230(山东-济南),是，我同意参与调查,硕士生,其他,1-5,否,否,概念构思┋技术细节描述,"在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,格式转换:将参考文献转换为特定格式，比如 BibTeX┋填补空白:“我需要为这句话找一个引用，请帮我找一个。”,经常（20-50%）,我只在需要阅读全文时才验证,否，从不,非常同意,我要求 AI 提供另一个链接,谷歌学术的“引用”按钮,仅针对关键观点,是，如果有必要,中立,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),中立,不太有效,轻微干扰,作者,也许,中立,否,否,是,在次要意见中提及,要求解释,是，我会直接联系作者┋是，我会联系程序委员会主席或期刊编辑,否，从未,中立,是,(空)
24,2026/1/7 17:09:12,332秒,微信,N/A,60.29.153.22(天津-天津),是，我同意参与调查,本科生,其他,0,否,否,概念构思,"追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）┋浏览会议论文集",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋学术专用搜索引擎（如 Elicit, Consensus, Scite, Semantic Scholar）┋AI 驱动的阅读/笔记工具（如 ChatPDF, Humata）",是，但仅用于最后的校对,格式转换:将参考文献转换为特定格式，比如 BibTeX┋发现:要求 AI 推荐特定主题的论文┋摘要:要求 AI 总结论文以决定是否引用,经常（20-50%）,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点不同意,我假设论文存在并尝试手动查找,直接从出版商导出,每次都会,否，从不,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,不太有效,主要问题,作者,否，负担太重,非常不同意,是,是,是,要求大修,要求解释,是，我会直接联系作者┋是，我会联系程序委员会主席或期刊编辑,否，从未,非常同意,是,(空)
25,2026/1/7 17:23:42,262秒,微信,N/A,60.29.153.42(天津-天津),是，我同意参与调查,本科生,软件工程,0,否,否,概念构思┋技术细节描述,"在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）",是，仅针对特定的困难段落,格式转换:将参考文献转换为特定格式，比如 BibTeX┋发现:要求 AI 推荐特定主题的论文,从未,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,有点不同意,我假设论文存在并尝试手动查找,谷歌学术的“引用”按钮,每次都会,否，从不,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),有点同意,非常有效,轻微干扰,作者,也许,有点不同意,否,否,是,在次要意见中提及,立即拒稿（伦理问题）,是，我会联系程序委员会主席或期刊编辑,否，从未,有点同意,否,(空)
26,2026/1/7 17:36:38,153秒,微信,N/A,223.104.39.168(北京-北京),是，我同意参与调查,博士生,其他,0,否,否,概念构思,在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用,否,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),谷歌学术的“引用”按钮,每次都会,是，如果有必要,有点同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),非常同意,比较有效,轻微干扰,作者,是，绝对应该,非常不同意,否,否,是,在次要意见中提及,要求解释,是，我会直接联系作者,是，很少,有点同意,否,(空)
27,2026/1/7 17:49:56,177秒,微信,N/A,111.36.110.56(山东-济南),是，我同意参与调查,本科生,软件工程,0,否,否,概念构思┋文献搜索与综述,"在谷歌学术/DBLP上进行关键词搜索┋追踪其他论文的引用┋使用 AI 驱动的工具（如 ChatGPT, Connected Papers）",是,"通用大语言模型（如 ChatGPT, Claude, Gemini）┋代码助手（如 GitHub Copilot, Cursor）",是，仅针对特定的困难段落,不使用:不在引用部分使用AI工具,我不用通用 LLM 找参考文献,是，我会通过谷歌学术/DBLP 100% 验证,否，从不,非常同意,我假设论文是幻觉并立即舍弃,谷歌学术的“引用”按钮,很少,是，如果有必要,非常同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),中立,不太有效,严重危机,AI 工具开发者,也许,非常不同意,否,否,是,在次要意见中提及,要求解释,是，我会联系程序委员会主席或期刊编辑,否，从未,中立,否,NONE
